iterations,mean_loss,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
0,16.5,1696877175,False,1,1faf0_00000,2023-10-09_14-46-15,0.0001957416534423828,0.0001957416534423828,90596,M-Q60T6533T0,127.0.0.1,0.0001957416534423828,1,
1,9.625,1696877176,False,2,1faf0_00000,2023-10-09_14-46-16,0.10517311096191406,0.10536885261535645,90596,M-Q60T6533T0,127.0.0.1,0.10536885261535645,2,
2,8.351851851851851,1696877176,False,3,1faf0_00000,2023-10-09_14-46-16,0.10314393043518066,0.2085127830505371,90596,M-Q60T6533T0,127.0.0.1,0.2085127830505371,3,
3,7.815789473684211,1696877176,False,4,1faf0_00000,2023-10-09_14-46-16,0.10513043403625488,0.313643217086792,90596,M-Q60T6533T0,127.0.0.1,0.313643217086792,4,
4,7.520408163265306,1696877176,False,5,1faf0_00000,2023-10-09_14-46-16,0.10018301010131836,0.41382622718811035,90596,M-Q60T6533T0,127.0.0.1,0.41382622718811035,5,
5,7.333333333333333,1696877176,False,6,1faf0_00000,2023-10-09_14-46-16,0.1030271053314209,0.5168533325195312,90596,M-Q60T6533T0,127.0.0.1,0.5168533325195312,6,
6,7.204225352112676,1696877176,False,7,1faf0_00000,2023-10-09_14-46-16,0.1029210090637207,0.619774341583252,90596,M-Q60T6533T0,127.0.0.1,0.619774341583252,7,
7,7.109756097560975,1696877176,False,8,1faf0_00000,2023-10-09_14-46-16,0.10014486312866211,0.7199192047119141,90596,M-Q60T6533T0,127.0.0.1,0.7199192047119141,8,
8,7.03763440860215,1696877176,False,9,1faf0_00000,2023-10-09_14-46-16,0.10514688491821289,0.825066089630127,90596,M-Q60T6533T0,127.0.0.1,0.825066089630127,9,
9,6.980769230769231,1696877177,False,10,1faf0_00000,2023-10-09_14-46-17,0.10101318359375,0.926079273223877,90596,M-Q60T6533T0,127.0.0.1,0.926079273223877,10,
10,6.934782608695652,1696877177,False,11,1faf0_00000,2023-10-09_14-46-17,0.10153603553771973,1.0276153087615967,90596,M-Q60T6533T0,127.0.0.1,1.0276153087615967,11,
11,6.896825396825397,1696877177,False,12,1faf0_00000,2023-10-09_14-46-17,0.10110187530517578,1.1287171840667725,90596,M-Q60T6533T0,127.0.0.1,1.1287171840667725,12,
12,6.864963503649635,1696877177,False,13,1faf0_00000,2023-10-09_14-46-17,0.10034799575805664,1.229065179824829,90596,M-Q60T6533T0,127.0.0.1,1.229065179824829,13,
13,6.837837837837838,1696877177,False,14,1faf0_00000,2023-10-09_14-46-17,0.1027829647064209,1.33184814453125,90596,M-Q60T6533T0,127.0.0.1,1.33184814453125,14,
14,6.814465408805032,1696877177,False,15,1faf0_00000,2023-10-09_14-46-17,0.10194802284240723,1.4337961673736572,90596,M-Q60T6533T0,127.0.0.1,1.4337961673736572,15,
15,6.794117647058823,1696877177,False,16,1faf0_00000,2023-10-09_14-46-17,0.1012418270111084,1.5350379943847656,90596,M-Q60T6533T0,127.0.0.1,1.5350379943847656,16,
16,6.776243093922652,1696877177,False,17,1faf0_00000,2023-10-09_14-46-17,0.10074377059936523,1.6357817649841309,90596,M-Q60T6533T0,127.0.0.1,1.6357817649841309,17,
17,6.760416666666667,1696877178,False,18,1faf0_00000,2023-10-09_14-46-18,0.10217595100402832,1.7379577159881592,90596,M-Q60T6533T0,127.0.0.1,1.7379577159881592,18,
18,6.746305418719212,1696877178,False,19,1faf0_00000,2023-10-09_14-46-18,0.1022500991821289,1.840207815170288,90596,M-Q60T6533T0,127.0.0.1,1.840207815170288,19,
19,6.733644859813084,1696877178,False,20,1faf0_00000,2023-10-09_14-46-18,0.1025247573852539,1.942732572555542,90596,M-Q60T6533T0,127.0.0.1,1.942732572555542,20,
20,6.722222222222222,1696877178,False,21,1faf0_00000,2023-10-09_14-46-18,0.1024010181427002,2.045133590698242,90596,M-Q60T6533T0,127.0.0.1,2.045133590698242,21,
21,6.711864406779661,1696877178,False,22,1faf0_00000,2023-10-09_14-46-18,0.10511279106140137,2.1502463817596436,90596,M-Q60T6533T0,127.0.0.1,2.1502463817596436,22,
22,6.702429149797571,1696877178,False,23,1faf0_00000,2023-10-09_14-46-18,0.10160708427429199,2.2518534660339355,90596,M-Q60T6533T0,127.0.0.1,2.2518534660339355,23,
23,6.6937984496124034,1696877178,False,24,1faf0_00000,2023-10-09_14-46-18,0.10172176361083984,2.3535752296447754,90596,M-Q60T6533T0,127.0.0.1,2.3535752296447754,24,
24,6.685873605947956,1696877178,False,25,1faf0_00000,2023-10-09_14-46-18,0.10510516166687012,2.4586803913116455,90596,M-Q60T6533T0,127.0.0.1,2.4586803913116455,25,
25,6.678571428571429,1696877178,False,26,1faf0_00000,2023-10-09_14-46-18,0.10511422157287598,2.5637946128845215,90596,M-Q60T6533T0,127.0.0.1,2.5637946128845215,26,
26,6.671821305841925,1696877179,False,27,1faf0_00000,2023-10-09_14-46-19,0.10173678398132324,2.6655313968658447,90596,M-Q60T6533T0,127.0.0.1,2.6655313968658447,27,
27,6.6655629139072845,1696877179,False,28,1faf0_00000,2023-10-09_14-46-19,0.10460996627807617,2.770141363143921,90596,M-Q60T6533T0,127.0.0.1,2.770141363143921,28,
28,6.659744408945687,1696877179,False,29,1faf0_00000,2023-10-09_14-46-19,0.1040341854095459,2.874175548553467,90596,M-Q60T6533T0,127.0.0.1,2.874175548553467,29,
29,6.654320987654321,1696877179,False,30,1faf0_00000,2023-10-09_14-46-19,0.10490179061889648,2.9790773391723633,90596,M-Q60T6533T0,127.0.0.1,2.9790773391723633,30,
30,6.649253731343284,1696877179,False,31,1faf0_00000,2023-10-09_14-46-19,0.10341191291809082,3.082489252090454,90596,M-Q60T6533T0,127.0.0.1,3.082489252090454,31,
31,6.644508670520231,1696877179,False,32,1faf0_00000,2023-10-09_14-46-19,0.10372304916381836,3.1862123012542725,90596,M-Q60T6533T0,127.0.0.1,3.1862123012542725,32,
32,6.640056022408964,1696877179,False,33,1faf0_00000,2023-10-09_14-46-19,0.10431814193725586,3.2905304431915283,90596,M-Q60T6533T0,127.0.0.1,3.2905304431915283,33,
33,6.635869565217392,1696877179,False,34,1faf0_00000,2023-10-09_14-46-19,0.10474920272827148,3.3952796459198,90596,M-Q60T6533T0,127.0.0.1,3.3952796459198,34,
34,6.6319261213720315,1696877180,False,35,1faf0_00000,2023-10-09_14-46-20,0.10083508491516113,3.496114730834961,90596,M-Q60T6533T0,127.0.0.1,3.496114730834961,35,
35,6.628205128205129,1696877180,False,36,1faf0_00000,2023-10-09_14-46-20,0.1049962043762207,3.6011109352111816,90596,M-Q60T6533T0,127.0.0.1,3.6011109352111816,36,
36,6.624688279301745,1696877180,False,37,1faf0_00000,2023-10-09_14-46-20,0.10330486297607422,3.704415798187256,90596,M-Q60T6533T0,127.0.0.1,3.704415798187256,37,
37,6.621359223300971,1696877180,False,38,1faf0_00000,2023-10-09_14-46-20,0.10063624382019043,3.8050520420074463,90596,M-Q60T6533T0,127.0.0.1,3.8050520420074463,38,
38,6.618203309692672,1696877180,False,39,1faf0_00000,2023-10-09_14-46-20,0.10512018203735352,3.9101722240448,90596,M-Q60T6533T0,127.0.0.1,3.9101722240448,39,
39,6.61520737327189,1696877180,False,40,1faf0_00000,2023-10-09_14-46-20,0.10512995719909668,4.0153021812438965,90596,M-Q60T6533T0,127.0.0.1,4.0153021812438965,40,
40,6.612359550561798,1696877180,False,41,1faf0_00000,2023-10-09_14-46-20,0.10193920135498047,4.117241382598877,90596,M-Q60T6533T0,127.0.0.1,4.117241382598877,41,
41,6.609649122807017,1696877180,False,42,1faf0_00000,2023-10-09_14-46-20,0.10048699378967285,4.21772837638855,90596,M-Q60T6533T0,127.0.0.1,4.21772837638855,42,
42,6.607066381156317,1696877181,False,43,1faf0_00000,2023-10-09_14-46-21,0.1005702018737793,4.318298578262329,90596,M-Q60T6533T0,127.0.0.1,4.318298578262329,43,
43,6.604602510460251,1696877181,False,44,1faf0_00000,2023-10-09_14-46-21,0.10143780708312988,4.419736385345459,90596,M-Q60T6533T0,127.0.0.1,4.419736385345459,44,
44,6.602249488752556,1696877181,False,45,1faf0_00000,2023-10-09_14-46-21,0.10439515113830566,4.524131536483765,90596,M-Q60T6533T0,127.0.0.1,4.524131536483765,45,
45,6.6,1696877181,False,46,1faf0_00000,2023-10-09_14-46-21,0.10483574867248535,4.62896728515625,90596,M-Q60T6533T0,127.0.0.1,4.62896728515625,46,
46,6.597847358121331,1696877181,False,47,1faf0_00000,2023-10-09_14-46-21,0.10363006591796875,4.732597351074219,90596,M-Q60T6533T0,127.0.0.1,4.732597351074219,47,
47,6.595785440613027,1696877181,False,48,1faf0_00000,2023-10-09_14-46-21,0.10511183738708496,4.837709188461304,90596,M-Q60T6533T0,127.0.0.1,4.837709188461304,48,
48,6.593808630393997,1696877181,False,49,1faf0_00000,2023-10-09_14-46-21,0.10511398315429688,4.942823171615601,90596,M-Q60T6533T0,127.0.0.1,4.942823171615601,49,
49,6.591911764705882,1696877181,False,50,1faf0_00000,2023-10-09_14-46-21,0.10509300231933594,5.0479161739349365,90596,M-Q60T6533T0,127.0.0.1,5.0479161739349365,50,
50,6.59009009009009,1696877181,False,51,1faf0_00000,2023-10-09_14-46-21,0.1047217845916748,5.152637958526611,90596,M-Q60T6533T0,127.0.0.1,5.152637958526611,51,
51,6.588339222614841,1696877182,False,52,1faf0_00000,2023-10-09_14-46-22,0.10216593742370605,5.254803895950317,90596,M-Q60T6533T0,127.0.0.1,5.254803895950317,52,
